PRN_A,PRN_B,RHO,N_proteins
PRN03,PRN23,0.304196166470515,114668
PRN03,PRN24,0.114203855809527,92432
PRN03,PRN25,0.272706335982356,184864
PRN03,PRN26,0.166634814240568,42292
PRN03,PRN27,-0.134258524280763,153036
PRN03,PRN28,-0.105365623349905,118592
PRN03,PRN29,-0.0228899203912851,8720
PRN03,PRN30,0.0535499242056292,16132
PRN03,PRN31,0.159576344656021,364496
PRN03,PRN32,-0.327252610653076,28776
PRN03,PRN33,-0.288616660046336,151292
PRN03,PRN34,0.092885379281706,97664
PRN03,PRN35,0.259552999375432,227592
PRN03,PRN36,-0.0166407415435171,417688
PRN03,PRN37,-0.00121561856400789,410712
PRN03,PRN38,0.0179000290345515,95484
PRN03,PRN39,0.254864256396497,273808
PRN03,PRN40,0.0295579387963046,24852
PRN03,PRN41,-0.242097654304918,105076
PRN04,PRN05,0.194149316747363,8772
PRN04,PRN06,0.133473286184018,9588
PRN04,PRN07,0.410681573119681,2091
PRN04,PRN08,-0.204019069823117,3825
PRN04,PRN09,-0.064081956577412,5151
PRN04,PRN10,-0.153537357916256,918
PRN04,PRN11,0.243332039890398,22389
PRN04,PRN12,0.00147573877276591,6171
PRN04,PRN13,0.136079761145689,12852
PRN04,PRN14,0.0999417280951602,4182
PRN04,PRN15,0.136994422278299,22389
PRN04,PRN16,-0.0600243073778132,13974
PRN04,PRN17,0.110318660913034,39933
PRN04,PRN18,-0.0598863065431892,19329
PRN04,PRN19,0.0619074000245033,22593
PRN04,PRN20,-0.00803098376839164,4029
PRN04,PRN21,0.143590304289156,11577
PRN04,PRN22,-0.194058712646735,9537
PRN04,PRN23,0.147420697383047,13413
PRN04,PRN24,-0.0736628054501791,10812
PRN04,PRN25,0.140335255260324,21624
PRN04,PRN26,0.11380504420137,4947
PRN04,PRN27,0.0711170730730821,17901
PRN04,PRN28,0.0248691477484782,13872
PRN04,PRN29,0.0499542862321326,1020
PRN04,PRN30,0.36102128174202,1887
PRN04,PRN31,0.109269055903148,42636
PRN04,PRN32,-0.0893809980307818,3366
PRN04,PRN33,-0.150927754591534,17697
PRN04,PRN34,0.0571554152296464,11424
PRN04,PRN35,0.0971006129732833,26622
PRN04,PRN36,-0.0259797430670875,48858
PRN04,PRN37,0.108552319649686,48042
PRN04,PRN38,0.123828765859355,11169
PRN04,PRN39,0.184710440087127,32028
PRN04,PRN40,0.0290725424580909,2907
PRN04,PRN41,-0.194780905350632,12291
PRN05,PRN06,0.0374540954211174,32336
PRN05,PRN07,0.189438163680583,7052
PRN05,PRN08,-0.21341128009996,12900
PRN05,PRN09,-0.066625624618148,17372
PRN05,PRN10,-0.140135455061388,3096
PRN05,PRN11,0.145314179350543,75508
PRN05,PRN12,0.13742866655743,20812
PRN05,PRN13,0.039958643004416,43344
PRN05,PRN14,0.150488774552983,14104
PRN05,PRN15,0.0510407336454076,75508
PRN05,PRN16,0.0409007326690277,47128
PRN05,PRN17,0.0551633191592778,134676
PRN05,PRN18,0.0440935455352559,65188
PRN05,PRN19,0.117965301085608,76196
PRN05,PRN20,0.101377338630006,13588
PRN05,PRN21,0.0305354912027952,39044
PRN05,PRN22,-0.123973811555384,32164
PRN05,PRN23,0.0410558335677957,45236
PRN05,PRN24,-0.0189917737264391,36464
PRN05,PRN25,0.0039067259968467,72928
PRN05,PRN26,-0.0291257335133291,16684
PRN05,PRN27,0.113314076281953,60372
PRN05,PRN28,0.0978127952037321,46784
PRN05,PRN29,0.0607160489675007,3440
PRN05,PRN30,0.259359949641901,6364
PRN05,PRN31,0.0304538802666006,143792
PRN05,PRN32,-0.00659047608735053,11352
PRN05,PRN33,-0.0644741872914657,59684
PRN05,PRN34,-0.0145763044220125,38528
PRN05,PRN35,-0.0304484784207573,89784
PRN05,PRN36,-0.0673804495448202,164776
PRN05,PRN37,0.0645066392484061,162024
PRN05,PRN38,0.148617924351549,37668
PRN05,PRN39,0.0671965239798317,108016
PRN05,PRN40,-0.00537330157136902,9804
PRN05,PRN41,-0.135950200958494,41452
PRN06,PRN07,0.165001000621843,7708
PRN06,PRN08,-0.0388999906607914,14100
PRN06,PRN09,0.177519125818265,18988
PRN06,PRN10,0.191902282109054,3384
PRN06,PRN11,0.101602481190685,82532
PRN06,PRN12,-0.165237898964576,22748
PRN06,PRN13,0.132429711936711,47376
PRN06,PRN14,-0.0337325842475084,15416
PRN06,PRN15,0.108588280569673,82532
PRN06,PRN16,-0.192384010693608,51512
PRN06,PRN17,0.0338213105808107,147204
PRN06,PRN18,-0.169400594471625,71252
PRN06,PRN19,-0.0852601383897773,83284
PRN06,PRN20,-0.0846087768925318,14852
PRN06,PRN21,0.110998400203373,42676
PRN06,PRN22,-0.115316341447102,35156
PRN06,PRN23,0.105567964265272,49444
PRN06,PRN24,0.169195854504892,39856
PRN06,PRN25,0.122201626050423,79712
PRN06,PRN26,0.0810995121481865,18236
PRN06,PRN27,-0.101677691019691,65988
PRN06,PRN28,-0.0911515945754889,51136
PRN06,PRN29,-0.116558079765933,3760
PRN06,PRN30,0.158660646447342,6956
PRN06,PRN31,0.161961836208066,157168
PRN06,PRN32,-0.23227953168796,12408
PRN06,PRN33,-0.163878725388825,65236
PRN06,PRN34,0.00641849500113781,42112
PRN06,PRN35,0.153300438968546,98136
PRN06,PRN36,0.0574252251564589,180104
PRN06,PRN37,0.0549327305701578,177096
PRN06,PRN38,-0.027054049392142,41172
PRN06,PRN39,0.0868374751170993,118064
PRN06,PRN40,-0.0926567055301291,10716
PRN06,PRN41,-0.0983903037356433,45308
PRN07,PRN08,-0.249319176634595,3075
PRN07,PRN09,0.0527472052231805,4141
PRN07,PRN10,-0.0892214528909235,738
PRN07,PRN11,0.309710430916064,17999
PRN07,PRN12,-0.00941860901481607,4961
PRN07,PRN13,0.222088331895422,10332
PRN07,PRN14,0.162023425642785,3362
PRN07,PRN15,0.197235811998036,17999
PRN07,PRN16,-0.146605531796769,11234
PRN07,PRN17,0.108396569265514,32103
